first_name,last_name,age,gender,city,marital_status,employment_status,ethnicity,blood_type,exercise_frequency
Broderic,Shapera,21,Male,Bull Savanna,Single,Unemployed,Fijian,A+,Yearly
Lek,Calliss,60,Male,Conduaga,Divorced,Retired,Comanche,AB-,Often
Freeland,Burgher,19,Male,Chixi,Single,Retired,Taiwanese,AB+,Yearly
Pacorro,Warrington,84,Bigender,Pedamaran,Single,Unemployed,Malaysian,A+,Monthly
Eberto,Kegley,29,Male,Puerto Santander,Married,Employed,Latin American Indian,AB-,Monthly
Jeannie,Matusov,43,Female,Buri,Married,Employed,Chippewa,AB-,Seldom
Terese,McPhater,40,Female,Kinkala,Single,Retired,Mexican,O-,Seldom
Lynnette,Mayell,68,Female,Kimry,Married,Retired,Malaysian,O-,Weekly
Loralee,McCann,41,Bigender,Toba Tek Singh,Married,Retired,Indonesian,O-,Monthly
Sigismund,Purkis,68,Male,Rowokangkung,Married,Unemployed,Asian,B-,Once
Engracia,Sparshett,29,Female,Anderstorp,Divorced,Employed,Ecuadorian,B-,Never
Hallie,Cowles,61,Female,Al ‘Anān,Divorced,Employed,Shoshone,A+,Weekly
Joey,Muslim,36,Female,Zhangwan,Single,Retired,Peruvian,AB+,Never
Beaufort,Tumbridge,81,Male,Américo Brasiliense,Divorced,Retired,Houma,O-,Weekly
Orazio,Lovekin,76,Male,Honglai,Divorced,Unemployed,Native Hawaiian and Other Pacific Islander (NHPI),A+,Yearly
Bertie,Feyer,64,Male,Nioki,Married,Unemployed,Chilean,B+,Often
Thayne,Shelbourne,48,Agender,Shchëkino,Divorced,Employed,Chilean,AB-,Seldom
Shelley,Denington,81,Male,Zaindainxoi,Married,Employed,Melanesian,O+,Often
Tonnie,Meineken,21,Male,Milevsko,Divorced,Retired,Nicaraguan,AB+,Daily
Brad,Phillott,29,Male,Longquan,Divorced,Employed,Malaysian,AB+,Daily
Helaina,Omand,76,Female,Liwu,Married,Employed,Filipino,O-,Once
Reynold,Bilbie,53,Male,Ånge,Married,Employed,Indonesian,B+,Never
Carmelita,Comley,70,Female,Fuquan,Married,Retired,Delaware,O+,Daily
Modestia,Schlagh,46,Genderfluid,Hetang,Single,Retired,Asian,B+,Seldom
Rodi,Dadge,43,Female,Kafir Yasif,Married,Retired,Costa Rican,A-,Yearly
Regan,Doonican,24,Male,Ilha Solteira,Married,Retired,Latin American Indian,O-,Yearly
Ronalda,Venus,46,Female,Naukšēni,Single,Employed,American Indian,A+,Monthly
Beatrisa,Chestnutt,33,Female,Bettendorf,Divorced,Employed,Pakistani,A+,Once
Chalmers,Bunten,22,Male,Sidem,Married,Retired,Yaqui,A-,Monthly
Jaime,Sivyer,29,Male,Binitinan,Divorced,Retired,Creek,O+,Often
Jobye,Tolwood,19,Genderfluid,Reims,Single,Unemployed,Puerto Rican,B+,Daily
Michaelina,Harling,84,Female,Jeleuk,Married,Unemployed,Chamorro,A+,Monthly
Adrian,Askwith,33,Male,Duqiao,Divorced,Unemployed,Sri Lankan,A+,Weekly
Nannie,Cordrey,50,Female,Dolulolong,Divorced,Retired,Cree,B+,Never
Thibaut,Hurll,25,Male,Knivsta,Married,Employed,Spaniard,AB-,Once
Cynthie,Krojn,53,Female,Roa,Single,Retired,Apache,O+,Yearly
Floria,Piborn,61,Female,Hake,Single,Retired,Dominican (Dominican Republic),O+,Never
Julie,Lathwell,42,Male,Lokokrangan,Married,Employed,Honduran,A-,Never
Conny,Brodeur,79,Female,Beauvais,Single,Employed,Kiowa,AB+,Daily
Honoria,Hankins,64,Female,Olszyna,Married,Retired,Costa Rican,A-,Daily
Elna,Zelner,61,Female,Junshan,Married,Employed,Argentinian,B+,Monthly
Denver,Rieger,45,Male,Baylo,Divorced,Unemployed,Mexican,AB+,Weekly
Sig,O' Meara,35,Male,Talitsa,Divorced,Employed,Aleut,A-,Often
Lowrance,Sparshott,68,Male,Cartago,Divorced,Unemployed,Korean,AB+,Daily
Sergeant,Hammer,65,Male,El Peñol,Divorced,Unemployed,White,O-,Daily
Terencio,Furse,38,Male,Laoliangcang,Divorced,Employed,Colombian,AB+,Never
Gilligan,Dunks,34,Bigender,Sixi,Divorced,Employed,Dominican (Dominican Republic),AB+,Seldom
Carlin,Matresse,46,Male,Poctol,Single,Retired,Indonesian,B+,Often
Fawne,Meadmore,29,Female,Takahata,Single,Retired,Indonesian,B-,Monthly
Abbott,Piers,64,Non-binary,Huyunxiang,Married,Employed,Sri Lankan,A+,Once
Mac,Fechnie,69,Male,Syców,Single,Unemployed,Chippewa,AB+,Often
Livvie,Bartul,77,Female,Turze Pole,Married,Employed,Yuman,O+,Never
Nathalia,Coddington,75,Female,Sant Cugat Del Valles,Divorced,Retired,Cherokee,A-,Once
Cecilius,Paice,28,Male,Comagascas,Divorced,Employed,Yuman,B-,Once
Rudolfo,Maxwaile,26,Male,Mādārīpur,Single,Employed,Central American,AB-,Weekly
Crichton,Troker,38,Male,Mora,Single,Unemployed,Filipino,AB+,Yearly
Dorie,Drewe,63,Female,Dasuk,Single,Unemployed,Nicaraguan,A-,Monthly
Adrea,Kobierra,57,Female,Shangjie,Married,Unemployed,Delaware,O-,Seldom
Yulma,Hainsworth,67,Male,Göteborg,Single,Employed,Laotian,O+,Yearly
Kerwin,Rollo,67,Male,San Francisco,Single,Retired,Bangladeshi,A-,Yearly
